Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
200,sigmoid,8,Momentum,Xavier,0.0001,0.05837181583046913,2948.8769510037655,0.7157894736842105
100,relu,5,SGD,Xavier,0.001,0.09208282828330994,2953.2510099528026,0.6947368421052632
200,sigmoid,5,Adam,Xavier,0,0.07943053543567657,2960.792555665614,0.8105263157894737
300,sigmoid,8,Momentum,small_random,0.0001,0.06520407646894455,2972.104422241708,0.7368421052631579
300,tanh,11,Momentum,small_random,0.0001,0.06083771586418152,3004.138667459614,0.6
300,sigmoid,5,Momentum,small_random,0.001,0.061707351356744766,3005.234425669496,0.6526315789473685
300,sigmoid,5,Adam,small_random,0.0001,0.061551086604595184,3006.249295128388,0.7578947368421053
200,sigmoid,11,Adam,small_random,0.0001,0.05022285133600235,3015.3926545468003,0.7684210526315789
100,tanh,5,Momentum,small_random,0,0.07045716792345047,3017.256702143372,0.6842105263157895
300,sigmoid,11,Adam,Xavier,0.001,0.05110891908407211,3034.0970671818814,0.6947368421052632
300,sigmoid,5,Momentum,small_random,0.0001,0.0582323782145977,3054.2024675713133,0.6
300,tanh,5,Adam,small_random,0.001,0.051372673362493515,3054.478922219521,0.8105263157894737
300,sigmoid,11,SGD,Xavier,0.001,0.07325384765863419,3075.259998289227,0.6842105263157895
100,relu,8,SGD,small_random,0.0001,0.09575348347425461,3085.71522290265,0.7263157894736842
200,tanh,5,SGD,small_random,0.001,0.10361579060554504,3089.3349510642406,0.7263157894736842
100,tanh,11,SGD,small_random,0.001,0.10781525075435638,3090.8154654274877,0.7263157894736842
300,relu,8,Momentum,small_random,0.001,0.04770044609904289,3098.4851012311797,0.7157894736842105
200,sigmoid,5,Adam,Xavier,0.001,0.08111410588026047,3117.423951727664,0.6631578947368421
100,relu,8,SGD,small_random,0.001,0.07417932897806168,3127.1829023534133,0.7157894736842105
200,tanh,5,Adam,small_random,0.0001,0.05211364105343819,3131.479128244382,0.7368421052631579
200,sigmoid,5,Momentum,small_random,0.0001,0.06413132697343826,3133.620309730046,0.6105263157894737
200,tanh,8,Momentum,Xavier,0,0.049925483763217926,3139.231190736656,0.7368421052631579
100,relu,5,Adam,Xavier,0.0001,0.08729252964258194,3144.6258014363675,0.7157894736842105
300,tanh,8,Momentum,Xavier,0,0.041978105902671814,3145.848546851638,0.5789473684210527
100,tanh,5,Adam,small_random,0.0001,0.0801251009106636,3156.3009940846932,0.7473684210526316
200,sigmoid,5,SGD,Xavier,0.001,0.097817562520504,3159.0319797728857,0.6631578947368421
200,tanh,8,Momentum,small_random,0.0001,0.06637091934680939,3159.341000481206,0.7157894736842105
200,sigmoid,8,Adam,small_random,0.001,0.05498308688402176,3170.4433188738044,0.7684210526315789
200,sigmoid,11,Adam,small_random,0,0.06840893626213074,3172.9942742710714,0.7157894736842105
200,sigmoid,11,SGD,small_random,0,0.10233066231012344,3173.0305067271415,0.6210526315789474
200,relu,5,SGD,small_random,0.001,0.11814354360103607,3204.2544062641414,0.6842105263157895
300,tanh,11,SGD,Xavier,0.001,0.056691527366638184,3205.877605663553,0.7684210526315789
200,relu,11,SGD,small_random,0.001,0.0634276270866394,3219.1670704959165,0.7263157894736842
100,sigmoid,11,SGD,Xavier,0.0001,0.13169829547405243,3224.654201271809,0.6105263157894737
100,relu,11,Adam,Xavier,0,0.04792826995253563,3244.2244431142453,0.7157894736842105
100,sigmoid,5,Momentum,Xavier,0.0001,0.05575483664870262,3261.618723108508,0.6
300,tanh,5,Adam,Xavier,0,0.04250968620181084,3262.5414510278206,0.7052631578947368
100,sigmoid,5,Adam,Xavier,0,0.10194307565689087,3263.821016485708,0.7052631578947368
100,relu,5,SGD,Xavier,0.0001,0.07334624230861664,3293.6422923257674,0.6842105263157895
100,tanh,8,Momentum,Xavier,0.001,0.051801566034555435,3294.885488370462,0.6526315789473685
300,sigmoid,8,SGD,small_random,0,0.08509135991334915,3303.39021815059,0.8
300,relu,11,SGD,Xavier,0.0001,0.06316361576318741,3325.3919268017303,0.5684210526315789
100,relu,5,Adam,Xavier,0.001,0.0566379576921463,3341.291484494977,0.7894736842105263
100,sigmoid,8,Momentum,Xavier,0.0001,0.0563553161919117,3357.1161212266047,0.6842105263157895
200,tanh,5,SGD,small_random,0.0001,0.12079762667417526,3371.857191917238,0.7157894736842105
200,tanh,11,Adam,Xavier,0,0.04777752608060837,3375.185687037981,0.6105263157894737
100,tanh,8,Adam_with_cosine,small_random,0.0001,0.4773678481578827,3384.9858714315374,0.5684210526315789
100,sigmoid,8,Adam,Xavier,0.0001,0.05244828015565872,3410.330277995324,0.6210526315789474
200,relu,11,Adam,Xavier,0.001,0.04778515174984932,3433.4766036862206,0.5789473684210527
100,tanh,8,Momentum,Xavier,0,0.05148208886384964,3464.373808693467,0.6842105263157895
300,tanh,8,Momentum,small_random,0.001,0.04962190240621567,3467.9287449944213,0.7263157894736842
300,relu,11,SGD,Xavier,0,0.07342543452978134,3473.148974480742,0.6105263157894737
100,sigmoid,5,Adam,small_random,0,0.0731717124581337,3526.0400168224487,0.6526315789473685
100,sigmoid,11,Adam,Xavier,0.001,0.06844113022089005,3529.642480974452,0.6105263157894737
200,tanh,11,SGD,Xavier,0.001,0.06119582802057266,3531.485670577034,0.6526315789473685
200,tanh,11,Momentum,Xavier,0,0.04595275968313217,3532.391003011192,0.7578947368421053
200,tanh,11,Momentum,small_random,0.001,0.051067352294921875,3537.6770304310076,0.6631578947368421
300,tanh,11,SGD,small_random,0,0.07942270487546921,3539.7250586409928,0.6526315789473685
100,tanh,11,Momentum,Xavier,0.001,0.0520983561873436,3549.9298049861673,0.6631578947368421
100,tanh,11,SGD,Xavier,0.001,0.07753195613622665,3554.220494634921,0.6210526315789474
100,sigmoid,5,SGD,Xavier,0.0001,0.12943992018699646,3557.349994703905,0.631578947368421
200,sigmoid,5,Momentum,small_random,0,0.061959829181432724,3563.3245047232826,0.7894736842105263
300,sigmoid,8,Momentum,small_random,0.001,0.050572097301483154,3575.9069498810577,0.6736842105263158
100,sigmoid,11,Momentum,Xavier,0,0.06026070564985275,3585.984512439277,0.6736842105263158
200,sigmoid,8,Momentum,small_random,0,0.06466967612504959,3586.979650791391,0.6210526315789474
100,relu,11,Momentum,Xavier,0.001,0.058850254863500595,3593.69353102544,0.5578947368421052
100,tanh,8,Momentum,small_random,0.0001,0.08374560624361038,3630.512434034725,0.631578947368421
300,sigmoid,8,SGD,Xavier,0.0001,0.07467452436685562,3632.3748936262455,0.6631578947368421
100,sigmoid,8,Momentum,small_random,0.001,0.07819833606481552,3639.1853286371766,0.6210526315789474
300,relu,5,SGD,Xavier,0.0001,0.06795685738325119,3639.5743044531278,0.6526315789473685
300,relu,8,SGD,small_random,0.001,0.06715678423643112,3647.469547130872,0.6526315789473685
100,sigmoid,11,Momentum,small_random,0.0001,0.07582102715969086,3673.0277190680363,0.47368421052631576
